Model,Label
Explorer4dr,911
Escort4dr,878
FocusSEL,1054
Escape4dr,865
EscapeSEL,872
F-150,924
RangerEdge,1963
F-150Limited,937
MustangShelby,1640
FusionPlatinum,1109
Crown,682
Windstar,2584
F-150King,934
Explorer2WD,908
FocusSE,1053
Expedition4.6L,895
MustangEcoBoost,1634
F-150FX4,932
Freestar,1092
TaurusSE,2384
FocusRS,1051
EdgeFWD,772
EdgeSE,775
F-150Regular,939
Contour4dr,642
C-Max,351
Focus3dr,1045
RangerXL,1967
Escape2WD,863
ExplorerAWD,912
FocusST,1056
"Expedition119""",893
EdgeAWD,771
Fiesta5dr,1016
Five,1037
ExpeditionXL,904
F-350,964
FiestaS,1018
E-Series,753
Ranger,1960
Focus2dr,1044
Escort2dr,877
F-250,947
Club,601
Explorer2dr,909
MustangV6,1641
FiestaSE,1019
FusionSport,1114
F-3502WD,965
Taurus,2377
TaurusPolice,2383
F-2502WD,948
EscapeXLS,875
Focus,1043
FocusS,1052
FocusTitanium,1059
EscapeSPORT,873
FiestaST,1022
FusionSEL,1112
FiestaTitanium,1024
500Sport,111
500Easy,101
500Abarth,100
500cLounge,121
500LTrekking,106
500cPop,122
500LLounge,104
500Turbo,112
500Lounge,108
500XAWD,114
500LEasy,103
5001957,99
124,1
500LPop,105
500Gucci,102
500LUrbana,107
500cAbarth,119
500eBATTERY,124
500e,123
500XTrekking,118
Karma4dr,1344
500XPop,117
500XLounge,116
DurangoGT,732
Viper2dr,2560
ChallengerSRT8,534
DurangoR/T,734
500,98
Durango4WD,726
Intrepid4dr,1310
Dakota4WD,706
Durango4dr,727
CaravanSport,502
ChallengerShaker,537
DurangoCrew,731
CaravanSXT,501
Dakota2WD,705
ChallengerSRT,533
Caravan4dr,497
Nitro4WD,1673
500Ribelle,110
ChargerSRT,553
ChargerSRT8,554
Challenger392,529
Neon4dr,1664
JourneyLimited,1336
ChargerDaytona,544
Sprinter2500,2297
Avenger4dr,277
Caravan3,495
ChargerR/T,548
DartLimited,712
DartRallye,713
ChargerRoad/Track,550
JourneyCrossroad,1333
Nitro2WD,1672
ChallengerT/A,538
CaravanSE,500
Caliber4dr,460
Magnum4dr,1520
ChargerSE,552
Stratus2004.5,2302
JourneyAmerican,1331
ChallengerScat,536
Caravan4,496
Nitro,1671
DartAero,710
CaravanES,498
NitroSLT/RT,1676
Stratus4dr,2304
DurangoSpecial,736
Stratus,2300
ChallengerRallye,532
AvengerSXT,280
NitroSPORT,1677
CaliberHB,462
DakotaBighorn/Lonestar,707
ChallengerGT,530
ChargerPolice,546
Stratus2dr,2303
Sprinter3500,2298
ChargerPursuit,547
Stratus2004,2301
AvengerR/T,278
NitroSXT,1678
Challenger,527
JourneyGT,1335
Avenger2dr,276
Dart,708
DartSXT/Rallye,716
ChargerV6,556
Caliber,458
ChargerBase,543
CaliberExpress,461
300300S,47
Crossfire2dr,674
Sebring4dr,2171
Sebring2004,2168
Sebring,2167
300M4dr,56
300Limited,54
300SRT8,62
2002dr,23
Pacifica4dr,1726
PacificaLimited,1730
200C,25
200Convertible,26
Cirrus4dr,573
Sebring2dr,2170
Sebring2004.5,2169
Voyager4dr,2570
Charger,539
300Motown,60
LHS4dr,1353
Aspen4WD,249
300Luxury,55
Prowler2dr,1818
Concorde4dr,633
AspenAWD,250
200LX,27
Aspen2WD,248
PacificaLX,1729
300Anniversary,49
AspenRWD,252
300C,51
Pacifica2004,1725
300Uptown,64
200Touring,32
Suburban4WD,2310
Corvette,663
Suburban2WD,2308
CorvetteCoupe,667
CorvetteStingray,668
SSRRegular,2153
SuburbanLTZ,2316
TahoeLTZ,2374
AvalancheLT,264
AvalancheLTZ,265
Avalanche2WD,261
Avalanche1500,259
TahoeLS,2372
SSSedan,2154
SuburbanLT,2315
